자치구,성별,연령대,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수,연령대_1,월
종로구,2,40,1.9,2.4,49.4,502.9,2.4,6921.1,19.85,0.0,121.1,20.4,17.0,6.8,5.8,25.3,9.7,1065177.9,314415.4,455.8,308.9,9.2,33.4,95.1,148.1,24.4,0.0,-0.3,9.3,3.0,1.7,40,2
종로구,2,45,1.9,2.3,59.3,513.0,2.2,7126.4,18.59,-0.1,114.9,19.4,17.1,6.6,4.9,27.7,10.6,1021062.8,300960.0,538.0,318.1,10.3,35.7,88.2,139.8,20.4,0.0,-0.3,8.0,3.2,1.7,40,2
종로구,2,50,1.7,2.2,63.1,497.7,2.2,7184.2,15.12,-0.1,115.3,15.6,15.6,6.0,2.9,29.2,9.9,1066699.0,323367.3,572.7,335.5,10.3,35.7,69.2,110.5,15.8,-0.1,-0.4,8.3,3.9,1.7,50,2
종로구,2,55,1.7,2.1,53.4,517.7,1.7,8000.0,12.3,-0.1,120.1,12.8,17.0,5.8,1.9,30.2,10.2,1025131.9,305828.8,544.0,295.4,9.7,34.3,52.5,85.0,13.4,-0.1,-0.5,6.5,2.5,1.7,50,2
종로구,2,60,2.0,2.5,55.2,483.7,1.7,6736.8,18.46,-0.1,120.9,13.9,16.1,5.1,1.8,24.0,9.6,1087795.6,313771.1,472.8,251.7,8.4,32.7,37.0,61.9,12.4,-0.1,-0.6,3.8,1.7,1.7,60,2
종로구,2,70,2.0,1.5,0.0,0.0,0.0,333.3,14.47,-0.1,116.2,10.9,11.2,3.2,1.2,19.6,7.4,1200041.7,336490.7,387.7,181.2,9.8,28.9,18.5,26.9,9.2,-0.2,-0.6,2.8,0.0,0.0,70,2
종로구,2,75,2.0,1.0,0.0,0.0,0.0,1000.0,11.27,-0.3,90.6,9.3,9.0,2.5,0.3,10.8,5.7,1318034.6,384276.4,223.0,125.8,5.2,25.0,24.8,24.4,7.0,-0.6,-0.7,1.7,0.0,1.7,70,2
종로구,1,20,2.2,3.9,58.2,453.5,2.5,9400.0,20.0,0.0,112.3,16.6,8.2,3.2,16.4,22.6,10.4,1086939.1,306182.7,512.5,309.8,9.7,72.3,87.3,68.2,26.8,0.3,-0.1,9.8,2.1,1.7,20,2
종로구,1,25,2.1,3.8,61.6,541.8,2.7,8265.2,16.22,0.1,96.8,19.6,12.1,4.3,15.4,27.5,11.3,941848.0,276580.9,641.1,353.1,13.4,62.2,96.9,94.5,34.3,0.2,-0.1,13.3,3.2,1.7,20,2
종로구,1,30,1.9,2.8,67.6,573.4,2.4,8131.9,20.48,0.2,111.4,10.2,15.7,5.2,15.9,31.9,12.2,869328.2,260114.3,764.3,390.6,14.7,58.2,112.7,101.0,30.6,0.1,-0.1,13.3,2.9,1.7,30,2
