시점,구분(1),구분(2),데이터
2017.12,경상북도,도평균,30
2017.12,경상남도,도평균,24
2017.12,제주특별자치도,도평균,23
2018.01,서울특별시,서울특별시,32
2018.01,부산광역시,부산광역시,28
2018.01,대구광역시,대구광역시,30
2018.01,인천광역시,인천광역시,29
2018.01,광주광역시,광주광역시,28
2018.01,대전광역시,대전광역시,30
2018.01,울산광역시,울산광역시,25
2018.01,세종특별자치시,세종특별자치시,28
2018.01,경기도,도평균,37
2018.01,강원도,도평균,33
2018.01,충청북도,도평균,40
2018.01,충청남도,도평균,30
2018.01,전라북도,도평균,33
2018.01,전라남도,도평균,24
2018.01,경상북도,도평균,33
2018.01,경상남도,도평균,24
2018.01,제주특별자치도,도평균,19
2018.02,서울특별시,서울특별시,30
2018.02,부산광역시,부산광역시,30
2018.02,대구광역시,대구광역시,28
2018.02,인천광역시,인천광역시,27
2018.02,광주광역시,광주광역시,31
2018.02,대전광역시,대전광역시,28
2018.02,울산광역시,울산광역시,27
2018.02,세종특별자치시,세종특별자치시,26
2018.02,경기도,도평균,33
2018.02,강원도,도평균,29
2018.02,충청북도,도평균,33
2018.02,충청남도,도평균,27
2018.02,전라북도,도평균,31
2018.02,전라남도,도평균,27
2018.02,경상북도,도평균,31
2018.02,경상남도,도평균,25
2018.02,제주특별자치도,도평균,22
2018.03,서울특별시,서울특별시,34
2018.03,부산광역시,부산광역시,26
2018.03,대구광역시,대구광역시,26
2018.03,인천광역시,인천광역시,32
2018.03,광주광역시,광주광역시,32
2018.03,대전광역시,대전광역시,27
2018.03,울산광역시,울산광역시,23
2018.03,세종특별자치시,세종특별자치시,26
2018.03,경기도,도평균,37
2018.03,강원도,도평균,30
2018.03,충청북도,도평균,34
2018.03,충청남도,도평균,28*
2018.03,전라북도,도평균,33
2018.03,전라남도,도평균,26
2018.03,경상북도,도평균,29
2018.03,경상남도,도평균,23
2018.03,제주특별자치도,도평균,24
2018.04,서울특별시,서울특별시,26
2018.04,부산광역시,부산광역시,28
2018.04,대구광역시,대구광역시,24
2018.04,인천광역시,인천광역시,24
2018.04,광주광역시,광주광역시,25
2018.04,대전광역시,대전광역시,23
2018.04,울산광역시,울산광역시,26
2018.04,세종특별자치시,세종특별자치시,23
2018.04,경기도,도평균,27
2018.04,강원도,도평균,27
2018.04,충청북도,도평균,28
2018.04,충청남도,도평균,21
2018.04,전라북도,도평균,27
2018.04,전라남도,도평균,22
2018.04,경상북도,도평균,28
2018.04,경상남도,도평균,23
2018.04,제주특별자치도,도평균,24
2018.05,서울특별시,서울특별시,23
2018.05,부산광역시,부산광역시,24
2018.05,대구광역시,대구광역시,21
2018.05,인천광역시,인천광역시,21
2018.05,광주광역시,광주광역시,21
2018.05,대전광역시,대전광역시,19
2018.05,울산광역시,울산광역시,24
2018.05,세종특별자치시,세종특별자치시,21
2018.05,경기도,도평균,23
2018.05,강원도,도평균,23
2018.05,충청북도,도평균,25
2018.05,충청남도,도평균,19
2018.05,전라북도,도평균,22
2018.05,전라남도,도평균,20
2018.05,경상북도,도평균,23
2018.05,경상남도,도평균,20
2018.05,제주특별자치도,도평균,20
2018.06,서울특별시,서울특별시,24
2018.06,부산광역시,부산광역시,25
2018.06,대구광역시,대구광역시,22
2018.06,인천광역시,인천광역시,22
2018.06,광주광역시,광주광역시,27
2018.06,대전광역시,대전광역시,19
2018.06,울산광역시,울산광역시,29
2018.06,세종특별자치시,세종특별자치시,22
2018.06,경기도,도평균,24
2018.06,강원도,도평균,21
2018.06,충청북도,도평균,25
2018.06,충청남도,도평균,21
2018.06,전라북도,도평균,28
2018.06,전라남도,도평균,23
2018.06,경상북도,도평균,23
2018.06,경상남도,도평균,23
2018.06,제주특별자치도,도평균,21
2018.07,서울특별시,서울특별시,16
2018.07,부산광역시,부산광역시,23
2018.07,대구광역시,대구광역시,18
2018.07,인천광역시,인천광역시,16
2018.07,광주광역시,광주광역시,15
2018.07,대전광역시,대전광역시,14
2018.07,울산광역시,울산광역시,27
2018.07,세종특별자치시,세종특별자치시,15
2018.07,경기도,도평균,14
2018.07,강원도,도평균,17
2018.07,충청북도,도평균,19
2018.07,충청남도,도평균,12
2018.07,전라북도,도평균,14
2018.07,전라남도,도평균,16
2018.07,경상북도,도평균,20
2018.07,경상남도,도평균,19
2018.07,제주특별자치도,도평균,16
2018.08,서울특별시,서울특별시,10
2018.08,부산광역시,부산광역시,14
2018.08,대구광역시,대구광역시,12
2018.08,인천광역시,인천광역시,12
2018.08,광주광역시,광주광역시,14
2018.08,대전광역시,대전광역시,11
2018.08,울산광역시,울산광역시,16
2018.08,세종특별자치시,세종특별자치시,10
2018.08,경기도,도평균,11
2018.08,강원도,도평균,12
2018.08,충청북도,도평균,13
2018.08,충청남도,도평균,10
2018.08,전라북도,도평균,14
2018.08,전라남도,도평균,12
2018.08,경상북도,도평균,14
2018.08,경상남도,도평균,12
2018.08,제주특별자치도,도평균,13
2018.09,서울특별시,서울특별시,14
2018.09,부산광역시,부산광역시,14
2018.09,대구광역시,대구광역시,12
2018.09,인천광역시,인천광역시,15
2018.09,광주광역시,광주광역시,13
2018.09,대전광역시,대전광역시,11
2018.09,울산광역시,울산광역시,14
2018.09,세종특별자치시,세종특별자치시,13
2018.09,경기도,도평균,13
2018.09,강원도,도평균,13
2018.09,충청북도,도평균,13
2018.09,충청남도,도평균,13
2018.09,전라북도,도평균,13
2018.09,전라남도,도평균,13
2018.09,경상북도,도평균,13
2018.09,경상남도,도평균,12
2018.09,제주특별자치도,도평균,13
2018.1,서울특별시,서울특별시,15
2018.1,부산광역시,부산광역시,17
2018.1,대구광역시,대구광역시,17
2018.1,인천광역시,인천광역시,16
2018.1,광주광역시,광주광역시,20
2018.1,대전광역시,대전광역시,17
2018.1,울산광역시,울산광역시,19
2018.1,세종특별자치시,세종특별자치시,14
2018.1,경기도,도평균,19
2018.1,강원도,도평균,15*
2018.1,충청북도,도평균,22
2018.1,충청남도,도평균,15
2018.1,전라북도,도평균,20
2018.1,전라남도,도평균,15
2018.1,경상북도,도평균,20
2018.1,경상남도,도평균,16
2018.1,제주특별자치도,도평균,16
2018.11,서울특별시,서울특별시,28
2018.11,부산광역시,부산광역시,26
2018.11,대구광역시,대구광역시,31
2018.11,인천광역시,인천광역시,29
2018.11,광주광역시,광주광역시,36
2018.11,대전광역시,대전광역시,34
2018.11,울산광역시,울산광역시,29
2018.11,세종특별자치시,세종특별자치시,29
2018.11,경기도,도평균,36
2018.11,강원도,도평균,26
2018.11,충청북도,도평균,41
2018.11,충청남도,도평균,35
2018.11,전라북도,도평균,39
2018.11,전라남도,도평균,27
2018.11,경상북도,도평균,33
2018.11,경상남도,도평균,25
2018.11,제주특별자치도,도평균,23
2018.12,서울특별시,서울특별시,24
2018.12,부산광역시,부산광역시,23
2018.12,대구광역시,대구광역시,26
2018.12,인천광역시,인천광역시,24
2018.12,광주광역시,광주광역시,26
2018.12,대전광역시,대전광역시,27
2018.12,울산광역시,울산광역시,19
2018.12,세종특별자치시,세종특별자치시,31
2018.12,경기도,도평균,28
2018.12,강원도,도평균,23
2018.12,충청북도,도평균,33
2018.12,충청남도,도평균,25
2018.12,전라북도,도평균,29
2018.12,전라남도,도평균,21
2018.12,경상북도,도평균,26
2018.12,경상남도,도평균,20
2018.12,제주특별자치도,도평균,16
2019.01,서울특별시,서울특별시,38
2019.01,부산광역시,부산광역시,29
2019.01,대구광역시,대구광역시,33
2019.01,인천광역시,인천광역시,33
2019.01,광주광역시,광주광역시,33
2019.01,대전광역시,대전광역시,34
2019.01,울산광역시,울산광역시,26
2019.01,세종특별자치시,세종특별자치시,41
2019.01,경기도,도평균,41
2019.01,강원도,도평균,33
2019.01,충청북도,도평균,45
2019.01,충청남도,도평균,37
2019.01,전라북도,도평균,40
2019.01,전라남도,도평균,25
2019.01,경상북도,도평균,33
2019.01,경상남도,도평균,24
2019.01,제주특별자치도,도평균,22
2019.02,서울특별시,서울특별시,35
2019.02,부산광역시,부산광역시,28
2019.02,대구광역시,대구광역시,33
2019.02,인천광역시,인천광역시,31
2019.02,광주광역시,광주광역시,34
2019.02,대전광역시,대전광역시,36
2019.02,울산광역시,울산광역시,26
2019.02,세종특별자치시,세종특별자치시,41
2019.02,경기도,도평균,38
2019.02,강원도,도평균,31
2019.02,충청북도,도평균,45
2019.02,충청남도,도평균,35
2019.02,전라북도,도평균,40
2019.02,전라남도,도평균,29
2019.02,경상북도,도평균,32
2019.02,경상남도,도평균,25
2019.02,제주특별자치도,도평균,23
2019.03,서울특별시,서울특별시,45
2019.03,부산광역시,부산광역시,30
2019.03,대구광역시,대구광역시,33
2019.03,인천광역시,인천광역시,41
2019.03,광주광역시,광주광역시,39
2019.03,대전광역시,대전광역시,39
2019.03,울산광역시,울산광역시,29
2019.03,세종특별자치시,세종특별자치시,47
2019.03,경기도,도평균,47
